Sentence,Sentiment
['چودھری رحمت علی  16 نومبر1897  کو مشرقی پنجاب کے ضلع ہوشیار پور کے گائوں  موہراں میں ایک\n متوسط زمیندار جناب حاجی شاہ کے ہاں پیدا   ہوئے۔ ابتدائی تعلیم انہوں نے ایک مکتب سے حاصل کی جو ایک عالم دین چلا رہے تھے۔ میٹرک اینگلو سنسکرت ہائی اسکول جالندھر سے کیا۔ 1914  میں   مزید تعلیم کے لئے لاہور  تشریف  لائے انہوں نے اسلامیہ کالج لاہور میں داخلہ لیا۔ 1915 میں اسلامیہ کالج میں بزم  شبلی کی بنیاد رکھی کیونکہ وہ  مولاناشبلی سے بہت  متاثر تھے اور پھراس کے پلیٹ فارم  سے 1915 میں تقسیم  ہن کا نظریہ  پیش کیا۔ 1918 میں بی اے کرنے کے بعد جناب محمد  دین فوق کے اخبار کشمیر گزٹ میں اسسٹنٹ ایڈیٹر کی حیثیت سے اپنے کیئریر کا آغاز کیا۔ 1928 میں ایچی سن کالج میں اتالیق مقرر ہوئے۔ کچھ  عرصہ  بعد انگلستان تشریف لے گئے جہاں کیمبرج اور ڈبلن یونورسٹیوں سے قانون اور سیاست میں اعلیٰ ڈگریاں حاصل کیں۔ اس طرح 1933 میں انہوں نے برصغیر کے طلباء پر مشتمل ایک تنظیم پاکستان نیشنل لبریشن موومنٹ کے نام سے قائم کی۔ ذہن میں رکھئے گا 1933 میں۔اسی سال چودھری رحمت علی  نے دوسری گول می کانفرنس کے موقع  پر اپنا مشہور کتابچہ Now or Never اب یا کبھی نہیں۔ شائع کیا جس میں پہلی مرتبہ لفظ پاکستان استعمال کیا گیا۔ 1935 میں انہوں نے کیمبرج  سے ایک ہفت روزہ اخبار نکالا جس کا نام بھی پاکستان تھا۔ چودھری رحمت علی 23 مارچ کو آلانڈیا  مسلم لیگ کے چونتیسوی سالانہ اجلاس میں لاہور تشریف لانا چاہتے تھے لیکن چند روز قبل خاکساروں کی فائرنگ کی وجہ سے اس وقت کے وزیر اعلیٰ پنجاب جناب سکندر  حیات نے چودھری رحمت علی کے پنجاب میں داخلے پر پابندی عائد کر دی-29 جنوری 1951  کو وہ نمونیہ میں مبتلا ہو کر شدید بیماری کی حالت میں  انگلستان کے ایک مقامی نرسنگ ہوم میں داخل ہو گئے لیکن صحت یاب نہ ہو سکے اور 3 فروری 1951 کو اپنے خالق حقیقی سے جا ملی۔  چودھری رحمت  علی کا جسدخاکی انگلستان کے شہر کیمبرج کے قبرستان میں امانتاً  دفن  ہے۔'],['O']
['تقریباً 25 سال کی عمر میں آپ صلی اللہ علیہ و آلہ وسلم نے شام کا دوسرا بڑا سفر کیا جو حضرت خدیجہ علیہا السلام کے تجارتی قافلہ کے لیے تھا۔ حضرت محمد صلی اللہ علیہ و آلہ وسلم نے ایمانداری کی بنا پر اپنے آپ کو ایک اچھا تاجر ثابت کیا۔ آپ صلی اللہ علیہ و آلہ وسلم دوسرے لوگوں کا مال تجارت بھی تجارت کی غرض سے لے کر جایا کرتے تھے۔ آپ صلی اللہ علیہ و آلہ وسلم یہ خدمات حضرت خدیجہ علیہا السلام کے لیۓ بھی انجام دیا کرتے تھے۔ اس سفر سے واپسی پر حضرت خدیجہ کے غلام میسرہ نے ان کو حضور صلی اللہ علیہ و آلہ وسلم کی ایمانداری اور اخلاق کی کچھ باتیں بتائیں۔ انہوں نے جب یہ باتیں اپنے چچا زاد بھائی ورقہ بن نوفل کو بتائیں تو ورقہ بن نوفل نے کہا کہ جو باتیں آپ نے بتائیں ہیں اگر صحیح ہیں تو یہ شخص یقیناً نبی  ہیں. آپ حضرت محمد صلی اللہ علیہ و آلہ وسلم کے اچھے اخلاق اور ایمانداری سے بہت متاثر ہوئیں اور آپ صلی اللہ علیہ و آلہ وسلم کو شادی کا پیغام دیا جس کو آپ صلی اللہ علیہ و آلہ وسلم نے حضرت ابوطالب کے مشورے سے قبول کر لیا۔ اس وقت آپ صلی اللہ علیہ و آلہ وسلم کی عمر 25 سال تھی۔حضرت خدیجہ علیہا السلام قریش کی مالدار ترین اور معزز ترین خواتین میں سے تھیں۔ حضرت خدیجہ علیہا السلام سے آپ صلی اللہ علیہ و آلہ وسلم کی چار بیٹیاں حضرت زینب رضی اللہ تعالٰی عنہ ، حضرت رقیہ رضی اللہ تعالٰی عنہ ، حضرت ام کلثوم رضی اللہ تعالٰی عنہ اور حضرت فاطمہ رضی اللہ تعالٰی عنہ پیدا ہوئیں۔ بعض علمائے اہلِ تشیع کے مطابق حضرت فاطمہ علیہا السلام کے علاوہ باقی بیٹیاں حضرت خدیجہ علیہا السلام کے پہلے خاوند سے تھیں۔'],['O']
['لیاقت علی خان پاکستان کے پہلے وزیراعظم تھے۔ آپ ہندوستان کے علاقے کرنال میں پیدا ہوئے اور آکسفورڈ یونیورسٹی سے قانون کی ڈگری لی اور 1922 میں انگلینڈ بار میں شمولیت اختیار کی۔ 1923 میں ہندوستان واپس آئے اور مسلم لیگ میں شامل ہوئے۔ 1936 میں آپ مسلم لیگ کے سیکرٹری جنرل بنے۔ آپ قائد اعظم محمد علی جناح کے دست راست تھے نواب زادہ لیاقت علی خان، نواب رستم علی خان کے دوسرے بیٹے تھے۔ آپ 2 اکتوبر، 1896ء کو پیدا ہوئے۔ آپ کی والدہ محمودہ بیگم نے گھر پر آپ کے لئے قرآن اور احادیث کی تعلیم کی انتظام کروایا۔ 1918 میں آپ نے ایم اے او کالج علی گڑھ سے گریجویشن کیا۔ 1918 میں ہی آپ نے جہانگیر بیگم سے شادی کی۔ شادی کے بعد آپ برطانیہ چلے گئے جہاں سے آپ نے آکسفورڈ یونیورسٹی سے قانون کی ڈگری حاصل کی۔ لیاقت علی خان اپنے خاندان کے ساتھ 1923 میں برطانیہ سے واپس آنے کے بعد آپ نے اپنے ملک کو غیر ملکی تسلط سے آزاد کروانے کے لئے سیاست میں آنے کا فیصلہ کیا۔ آپ نے مسلم لیگ میں شمولیت اختیار کی۔ 1924 میں قائداعظم محمد علی جناح کی زیر قیادت مسلم لیگ کا اجلاس لاہور میں ہوا۔ اس اس اجلاس کا مقصد مسلم لیگ کو دربارہ منظم کرنا تھا۔ اس اجلاس میں لیاقت علی خان نے بھی شرکت کی۔ 1926 میں آپ اتر پردیش سے قانون ساز اسمبلی کے رکن منتخب ہوئے اور 1940 میں مرکزی قانون ساز اسمبلی کے رکن منتخب ہونے تک آپ یو پی اسمبلی کے رکن رہے۔'],['O']
['مرزا غالب 1797- 1869 اردو زبان کے سب سے بڑے شاعر سمجھے جاتے ہیں۔  ان کی عظمت کا رازصرف ان کی شاعری کے حسن اور بیان کی  خوبی ہی میں نہیں ہے۔  ان کا اصل کمال یہ ہے کہ وہ زندگی کے حقائق اور انسانی نفسیات کو گہرائی میں جا کرسمجھتے تھے اور بڑی سادگی سے عام لوگوں کے لیے بیان کر دیتے تھے۔ غالب جس پر آشوب دور میں پیدا ہوئے اس میں انہوں نے مسلمانوں کی ایک  عظیم سلطنت کو برباد ہوتے ہوئے اور باہر سے آئی ہوئی انگریز قوم کو ملک کے اقتدارپر چھاتے ہوئے دیکھا۔ مرزا غالب کا نام اسد اللہ بیگ خاں تھا۔  باپ کا نام عبد اللہ بیگ تھا۔ آپ دسمبر 1797ء  میں آگرہ میں پیدا ہوئے غالب بچپن ہیمیں  یتیم ہو گئے تھے ان کی پرورش ان کے چچا مرزا نصراللہ بیگ نے کی لیکن آٹھ سال کی عمر میں ان کے چچا بھی  فوت ہو گئے۔  نواب احمد بخش خاں نے مرزا کے خاندان کا انگریزوں سے وظیفہ مقرر کرا دیا۔ شادی کے بعد انہوں نے اپنے آبائی وطن کو خیر باد کہہ  کردہلی میں مستقل سکونت اختیار کرلی۔ شادی کے بعد مرزا کے اخراجات بڑھ گئے اور مقروض ہو گئے۔ آخر مالی پریشانیوں سے مجبور ہو کر غالب نے قلعہ  کی ملازمت اختیار کرلی اور 1850ء میں بہادر شاہ ظفر نے مرزا غالب کو نجم الدولہ دبیرالملک نظام جنگ کا خطاب عطا فرمایا، اور خاندان تیموری کی تاریخ لکھنے پر مامور کر دیا اور 50 روپے ماہور مرزا کا وظیفہ مقرر ہوا ۔غدر کے بعد مرزا کی سر کاری پنشن بھی بند ہو گئی۔  چنانچہ انقلاب 1857ء کے بعد مرزا نے نواب یوسف علی خاں والی رامپور کو امداد کے لیے لکھا انہوں نے سو روپے ماہوار وظیفہ مقرر کر دیا جو مرزا کو تادم  حیات ملتا رہا۔ کثرت شراب نوشی کی بدولت ان کی صحت بالکل تباہ ہو گئی مرنے سے پہلے بے ہوشی طاری رہی اور اسی حالت میں  15  فروری  1869ء کو انتقال فرمایا۔'],['O']
['ٹیپو سلطان 10 نومبر1750~ 4 مئی 1799 ہندوستان میں انگریزوں کے خلاف جدوجہد کرنے والے آخری حکمران تھے۔ آپ کا پورا نام فتح علی ٹیپو تھا۔  آپ نے اور آپ کے والد سلطان حیدر علی نے جنوبی ہند میں  50 سال تک انگریزوں کو روکے رکھا اور کئی بار انگریزی افواج کو شکست فاش دی۔ آپ نے  برطانوی سامراج کے خلاف ایک مضبوط مزاحمت فراہم کی اور برصغیر کے لوگوں کو غیر ملکی تسلط سے آزاد کرنے کیلیے سنجیدہ و عملی  اقدامات کئے۔ سلطان نے انتہائی دوررس اثرات کی حامل فوجی اصلاحات نافذ کیں صنعت و تجارت کو فروغ دیا اور انتظامیہ کو ازسرنو منظم کیا سلطان کو اس بات سے  اتفاق تھا کہ برصغیر کے لوگوں کا پہلا مسئلہ برطانوی اخراج ہے۔  نظام حیدر آباد دکن اورمرہٹوں نے ٹیپو کی طاقت کو اپنی بقا کیلیے خطرہ سمجھا اور  انگریزوں سے اتحاد کرلیا۔ ٹیپو  سلطان نے ترکی ، ایران ، افغانستان اور فرانس سے مدد حاصل کرنے کی کوششیں کیں مگر کامیاب نہ ہو سکے۔ میسور کی  آخری جنگ کے دوران جب سرنگاپٹم کی شکست یقینی ہوچکی تھی ٹیپو نے محاصرہ کرنے والے انگریزوں کے خلاف بھرپور مزاحمت کی اور قلعے کو بند  کروا دیا غدار ساتھیوں نے دشمن کیلیے قلعے کا دروازہ کھول دیا اور قلعے کے میدان میں زبردست جنگ چھڑ گئی۔ بارُود کے ذخیرے میں آگ لگ جانے کے باعث مزاحمت کمزور ہو گئی اس موقع پر فرانسیسی افسر نے ٹیپو کو بھاگ جانے اور اپنی جان بچانے کا مشورہ دیا مگر ٹیپو راضی نہ ہوئے اور 1799ء  میں دوران جنگ سر پر گولی لگنے سے شہید ہو گئے۔'],['O']
['پاکستانی سائسندان  پاکستانی ایٹم بم کے خالق ہندوستان کے شہر بھوپال میں پیدا ہوئے ۔ ڈاکٹر قدیرخان پندرہ برس یورپ میں رہنے کے دوران ہالینڈ سے  ماسٹرز آف سائنس جبکہ بیلجیئم سے ڈاکٹریٹ آف انجینئرنگ کی اسناد حاصل کرنے کے بعد  31 مئی 1976ء  میں انہوں نے ذوالفقار علی بھٹو سے مل کر  انجینئرنگ ریسرچ لیبارٹریزمیں شمولیت اختیار کی  ۔ اس ادارے کا نام یکم مئی 1981ء کو جنرل ضیاء الحق نے تبدیل کر کے ’ ڈاکٹر  اے  کیو  خان  ریسرچ  لیبارٹریز ‘ رکھ دیا ۔ڈاکٹر قدیر خان پر ہالینڈ کی حکومت نے اہم معلومات چرانے کے الزامات کے تحت مقدمہ بھی دائر کیا جن معلومات کو چرانے کی بنا پر  مقدمہ داخل کیا گیا ہے وہ عام اور کتابوں میں موجود ہیںـ جس کے بعد ہالینڈ کی عدالت عالیہ نے ان کو باعزت بری کر دیا تھا ۔ مئی 1998ء  میں پاکستان نے بھارتی ایٹم بم کے تجربے کے بعد کامیاب تجربہ کیا ۔  ـڈاکٹر قدیر خان کو وقت بوقت 13 طلائی تمغے ملے  ۔ ڈاکٹر قدیرخان  نے ہالینڈ میں قیام کے دوران ایک مقامی لڑکی ہنی خان سے شادی کی  اور جن سے ان کی دو بیٹیاں ہوئیں ۔2004 ان پر  یٹمی  آلات دوسرے اسلامی ممالک  کو فروخت کرنے کا الزام لگا ۔ جس کے جواب میں انہوں نے یہ ناقابل یقین اعتراف کیا کہ انہوں نے ایسا کیا ہے اور حکومت پاکستان کا یا فوج کا اس میں  کوئی ہاتھ نہیں رہا ۔ اس کے بعد قدیر خان کو نظر بند کر دیا گیا ۔ اگست  2006ء میں انکشاف ہوا کہ قدیر خان کو کینسر ہے  ۔'],['O']
['آپ 25 دسمبر 1876ء کو وزیر مینشن، کراچی، سندھ میں پید اہوئے، جوکہ اُس وقت بمبئی کا حصہ تھا۔ آپ کا پیدائشی نام محمد علی جناح بھائی رکھا گیا ایک پاکستانی سیاستدان اور آل انڈیا مسلم لیگ کے لیڈر تھے جن کی قیادت میں مسلمانوں نے برطانیہ سے آزادی حاصل کی، یوں پاکستان کا قیام عمل میں آیا اور آپ پاکستان کے پہلے گورنر جنرل بنے۔ سرکاری طور پر پاکستان میں آپ کو قائدِ اعظم یعنی سب سے عظیم رہبر اور بابائے قوم یعنی “قوم کا باپ“ بھی کہا جاتا ہے۔ آغاز میں آپ انڈین نیشنل کانگرس میں شامل ہوئے اور مسلم ہندو اتحاد کے حامی تھے۔ کانگرس سے اختلافات کی وجہ سے آپ نے کانگرس پارٹی چھوڑ دی اور مسلم لیگ کی قیادت میں شامل ہو گئے۔ جناح 1940ء کی قراردادِ پاکستان قرار دادِ لاہور کی روشنی میں مسلمانوں کے لئے ایک علیحدہ ریاست بنام پاکستان بنانے کے لئے مصروفِ عمل ہو گئے۔آخر کار برطانیہ کو پاکستان اور بھارت کی آزادی کے مطالبے کو تسلیم کرنا پڑا۔ 11 ستمبر 1948 پر   پاکستان کی آزادی کے صرف ایک سال بعد مر گی'],['O']
['عظیم پاکستانی قوال، موسیقار اور گلوکار فیصل آباد میں پیدا ہوئے۔ آپ کے والد فتح علی خان اور تایا مبارک علی خان اپنے وقت کے مشہور قوال تھے۔ ان کے خاندان نے قیام پاکستان کے وقت مشرقی پنجاب کی ضلع جالندھر سے ہجرت کر کے فیصل آباد میں سکونت اختیار کی تھی۔ استاد نصرت فتح علی خان نے اپنی تمام عمر قوالی کے فن کو سیکھنے اور اسے مشرق و مغرب میں مقبول عام بنانے میں صرف کر دی۔ انہوں نے صوفیائے کرام کے پیغام کو دنیا کے کونے کونے تک پہنچایا اور ان کے فیض سے خود انہیں بے پناہ شہرت نصیب ہوئی۔پاکستان میں نصرت فتح علی خان کا پہلا تعارف اپنے خاندان کی روایتی رنگ میں گائی ہوئی ان کی ابتدائی قوالیوں سے ہوا۔ ان کی مشہور قوالی ’علی مولا علی‘ انہں دنوں کی یادگار ہے۔ بعد میں انہوں نے لوک شاعری اور اپنے ہم عصر شعراء کا کلام اپنے مخصوص انداز میں گا کر ملک کے اندر کامیابی کے جھنڈے گاڑے عام طور پر قوالی سے لگاؤ نہ رکھنے والے طبقے کو اپنی طرف راغب کیا اور یوں نصرت فتح علی خان کا حلقہ اثر وسیع تر ہو گیا۔'],['O']
['بینظیر بھٹو پاکستان کی پہلی خاتون وزیراعظم تھیں۔ پہلی  بارآپ  1988ء میں پاکستان کی وزیراعظم بنیں لیکن صرف 20 مہینوں کے بعد اس وقت کے  صدر پاکستان غلام اسحاق خان نے بے پناہ بدعنوانی کے باعث اپنے خصوصی اختیارت کو استعمال کرتے ہوئے اسمبلی کو ختم کرتے ہوئے نئے الیکشن  کروائے۔ بینظیر بھٹو کا تعلق پاکستان پیپلز پارٹی سے تھا۔  ذوالفقار علی بھٹو کی بڑی صاحبزادی سابق وزیراعظم بینظیر بھٹو 21 جون 1953 میں سندھ کے مشہور سیاسی بھٹو خاندان میں پیدا ہوئیں۔ ابتدائی تعلیم کراچی میں حاصل کی  Lady  Jennings  Nursery  School  اور  Convent  of  Jesus  and  Mary  انھوں نے 15 سال کی عمر بے نظیر بھٹو نے 1973 پولیٹیکل سائنس میں گریجوایشن کر لیا۔  اس کے بعد انھوں نے آکسفورڈ یونیورسٹی میں داخلہ لیا جہاں سے انہوں نے فلسفہ، معاشیات اورسیاسیات میں ایم اے کیا۔ بے نظیر  لیاقت باغ میں عوامی جلسے سے خطاب کرنے کے بعد اپنی گاڑی میں بیٹھ کر اسلام آباد آرہی تھیں اس دوران جب وہ پارٹی کارکنوں کے ساتھ اظہار یکجہتی  کے لیے گاڑی کی چھت سے باہر نکل رہی تھیں کہ نامعلوم شخص نے ان پر فائرنگ کر دی۔ اس کے بعد بینظیر کی گاڑی سے کچھ فاصلے پر ایک زوردار  دھماکہ ہوا اس دھماکے میں بینظیر بھٹو جس گاڑی میں سوار تھیں، اس کو بھی شدید نقصان پہنچا لیکن گاڑی کا ڈرائیور اسی حالت میں گاڑی کو بھگا کر راولپنڈی جنرل ہسپتال لے گیا جہاں وہ زخموں کی تاب نہ لاتے ہوئے جاں بحق ہو گئیں۔'],['O']
"[""ہمارے ماہرین تاریخ وسیاست نے مادر ملت کو قائداعظم کے گھر کی دیکھ بھال کرنے والی بہن کے حوالے سے بہت بلند مقام دیا ہے لیکن انہوں نے قیام پاکستان اور خصوصاً 1965ء  کے بعد کے سیاسی نقشے پر جو حیرت انگیز اثرات چھوڑے ہیں ان کی طرف زیادہ توجہ نہیں دی۔ مادر ملت نے دانتوں کے علاج معالجے میں تخصیص حاصل کی اور کئی سال تک  پریکٹس کی اور اس دوران غریبوں کا مفت علاج کیا۔ مادر ملت نے اپنی زندگی کا بیشتر حصہ بے شمار سماجی اور رفاہی اداروں کی سر پرستی میں صرف کیا اور ان کی ترقی اور تعمیر میں دامے 'ورمے 'سخنے مدد کی اس حوالے سے کشمیری مہاجرین کے لئے ان کی خدمات ناقابل فراموش ہیں۔ مادر ملت کی زندگی سے ایک اہم سبق یہ بھی ملتا ہے کہ خواتین کو پرو فیشنل تعلیم سے آ راستہ ہونا چاہئے تاکہ وہ مالی طور پر خود کفیل ہوں۔ مادر ملت کا سب سے اہم کارنامہ پاکستان کو جمہوریت کے راستے پر دوبارہ گامزن کرنا ہے انہوں نے 1965ء کے صدارتی انتخاب میں حصہ لے کر تحریک پاکستان کی ہماگیر عوامی شرکت کی یادیں تازہ کردیں اور مشرقی اور مغربی پاکستان کے مابین یک جہتی اور یگانگت کے جذبوں کو بیدارکردیا۔ وہ قائد اعظم کی وفات کے بعد 19سال تک بقید حیات رہیں اور ملک کے سیاسی 'معاشی 'سماجی اور تعلیمی مسائل کے بارے میں تواتر کے ساتھ اپنی آرا دیتی رہیں ۔""]",['O']
